X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36
-2.125637858323732754e+00,1.464686211430287877e+00,-3.448223914379818789e-01,4.729537198444440094e-01,3.233081507543604793e-01,-7.646647834946125322e-01,-1.114809689370712675e+00,2.116408309566187307e-01,-2.202960607188244158e+00,-3.388526141879586895e+00,-1.738055722620355459e+00,1.675849653962260710e+00,-1.417176514043379854e+00,2.585298399264556402e+00,-5.300379403161881164e-02,2.110557450694456882e-01,6.691555598983160991e-01,-1.816614821540355473e+00,-5.734784303957446427e-01,-6.615930133993436213e-02,-1.675341607076239914e+00,5.486770605206136020e-01,-7.375629515960244742e-01,-7.576538024904742041e-01,3.845703776958037112e-01,-9.929652286718017029e-01,-1.936731388176892832e+00,3.045010002276710148e-01,1.567756373918171853e-01,3.059037328196032579e-01,-3.741564646424271778e+00,-7.478116079499959046e-01,2.179578238035671855e+00,4.232217280976749763e+00,1.870419197825283764e-01,1.066426156767335653e+00,1.905531762282946517e-01
4.681637349027179873e+00,1.484094436755226676e+00,2.800776525575874309e-01,2.587007560313227539e-01,2.313386244734523700e+00,2.233974556802833522e-01,1.773206114834245506e+00,-2.957621431067825046e-01,5.737968935609438326e+00,-1.074560290676533691e+00,-3.937140490253879577e+00,1.384570507798846162e+00,-1.435733860813577456e+00,-8.859952046889356669e-01,-5.634836307674555567e-01,-1.455302592925389993e+00,-1.233495565657613868e+00,6.612808322114590576e-01,1.495494708721064048e-01,4.290722232280330672e-01,2.235542235709521375e+00,-1.893794536045928067e+00,-2.681338599668244171e+00,-2.799575643302441019e+00,-5.726180404616388886e-01,1.031287135731417393e-01,-3.449875173743914836e-01,6.478054937009790626e-01,-1.234274210749620737e+00,-1.042176288343026780e+00,-2.394746100113180454e+00,1.398359917961791377e+00,1.730876889440972288e+00,4.077423695605331133e+00,2.058321764489673633e+00,-1.196592750965077112e+00,1.586279024976847918e+00
-7.894924178076969667e-01,-3.660574601537202044e-01,6.115691077865332836e-01,1.604228405926490186e+00,1.421179205773859699e+00,-7.823837432616326248e-01,-2.144887170163493284e+00,-7.857471656348785638e-02,4.061177598216776374e+00,-1.879914546975317124e+00,-1.157872948116705158e+00,-1.316170518166220216e+00,-3.718419337294784355e-01,1.961309428857490822e+00,2.193528281643898348e-01,2.501763138961043076e+00,-4.872033090950649736e+00,2.322567909310246037e+00,-2.472241396070980812e+00,1.068292058775614617e+00,-1.921600022880831649e+00,-3.863220678725264534e+00,1.160982405720139221e+00,9.646869543233027589e-01,4.711982070693531144e-01,-1.586938323149382102e+00,3.409501785925903583e+00,-1.063426209530921707e+00,7.370992279989593277e-01,-5.978242686287916774e-01,1.107125082362339086e-01,-1.023593841367580470e+00,3.090403030598070977e+00,-1.082762895211573762e+00,-8.175637475411708932e-01,-1.787851836272868339e-02,1.058917073159373556e+00
-9.925965306425278412e-01,1.029925153785966607e-01,2.404899532973605314e-01,-3.396334756591755655e-01,2.542929212881537726e+00,9.624950689229402334e-01,3.638397405206783564e-01,1.403585594618732280e-01,-5.636731203422927550e+00,-5.458041949652074898e+00,-2.670171581727144083e+00,1.043774793041012394e+00,4.731647826801314571e-01,1.752476517124053723e+00,1.444258875813955845e+00,3.893147468683210377e+00,4.690704136182085038e-01,-6.464565526526278028e-01,-2.117025730106711079e-01,6.350107466762145991e-01,-2.505695603160762452e+00,2.922153203241596664e+00,7.734199079246184549e-01,-2.618767751914907294e+00,1.084907653616278500e+00,3.176180551655256590e-01,5.740583968941592730e-02,-2.088845049209570703e+00,-4.575623967609367959e-01,-1.224449729763294581e+00,1.393313911086857537e+00,-2.824913287612811352e+00,-6.648101162666297803e-01,-1.206903310981177979e+00,-3.551626425713750201e+00,-2.233174876125981090e+00,-6.598343648388118599e-01
2.817495224708355117e+00,-2.751570027901139026e-01,1.490189365808550770e+00,5.724714283038898621e-01,4.707187160516176361e-01,-7.419166708779337260e-02,1.737883818385760337e+00,1.573249014793127287e+00,-2.572503387190415047e+00,-3.412137441547125061e-01,1.185879870893157051e+00,7.669897184807132895e-01,-1.908988520682775691e+00,2.023410038762937901e+00,-5.929945646704003204e-02,-4.283571066803040228e-01,4.418033128342472082e+00,6.996603087688062494e-01,-1.858139052393684709e+00,-1.588833588911367833e+00,-2.237390837022750656e+00,3.336315359356986754e+00,-8.559749625037746945e-01,1.639323055925243189e+00,1.334058804197367776e+00,-1.729716217862414140e+00,1.529626397270857252e+00,1.302664318949065536e-01,1.497825198565730265e+00,1.374686802343700887e+00,-3.790570704782139089e+00,-4.091557604961963968e-01,-8.352371347832260318e-01,3.997541842928015399e+00,-7.946383504951614052e-01,7.459059780934119699e-01,-2.175376999179507109e+00
5.964147531504189192e-01,5.137468414571749742e-02,-1.535557648878566717e+00,-1.486355155978281994e-01,-2.977203947390857142e+00,-2.678800295807080456e+00,8.968037139200374375e-01,-3.771872545170590861e-03,2.562898706727837705e+00,5.095489642898317406e+00,3.760454215217841956e+00,4.060948641759150046e-01,-5.309553527738564149e-01,1.724274516666715606e-02,-2.800516215218634031e+00,1.999425568678112164e+00,-1.771268253560339900e+00,4.431343172787045037e-01,1.878210755073015381e+00,1.466147294670297363e+00,3.493783252119868621e+00,-1.672350939430891525e+00,-1.053893846318721295e+00,-1.603142914727242241e+00,-1.306061601298505459e-01,2.769595659765489715e-01,5.294324389058497893e-01,1.224190244704120856e+00,-1.849958581947584335e+00,1.393052562728002819e+00,3.721542234128434323e-01,-7.962382566403074513e-01,3.228073101251739629e+00,1.356043051235047425e-01,2.229877504365841423e-01,1.322491022416334205e+00,6.918424657576387471e-01
1.503361687366476795e+00,7.029982521359037229e-01,1.890926942011058376e+00,-8.821333730523276406e-01,-3.646357442157702189e-01,2.095214745795376532e-01,5.370593426648334612e-01,-2.208050386883698146e-01,4.675518683473640635e-01,5.684517325023714207e+00,2.369271640636384291e+00,-1.072702683091440345e+00,9.234291153935590968e-01,-3.015070442337790091e+00,-5.542486470736313064e-02,-1.494843574938764519e+00,4.041557630463302075e+00,4.771941742313231399e-02,3.279986082998163632e-01,-2.104730272735737096e+00,1.065610247205370342e+00,2.642711172131944064e-01,-3.457208299678973251e-01,1.524946563950301481e+00,-4.825243548827006235e-01,-8.586891426763919588e-01,-1.411522474827185070e+00,2.153904195873603378e+00,1.266074469445699568e+00,-1.239080795054091633e+00,3.091792505852563711e+00,8.764382948741129553e-01,-3.853869384595135728e+00,-5.039813608963796376e+00,2.227235694640497421e+00,2.379797202154436131e-01,-1.111054069788997456e+00
-1.858237521384722424e+00,-1.332433106592248562e+00,4.007794945765082530e-04,-1.202918750387287794e+00,-5.442345241283618185e-01,5.857615766188202233e-01,-9.287444368951445206e-01,4.283430627649145173e-01,1.905742406617222828e+00,1.644028275511537629e+00,2.041231801922386957e+00,-9.928337322209153104e-01,9.216787447737908590e-01,-6.443829234741257350e-01,1.391890729589309483e+00,-3.254509141536797046e+00,1.306834916546055103e+00,1.644611049171756378e-01,-8.106433320377514073e-01,-9.365035343363931064e-02,-2.000150182388093167e+00,-1.260801351701773765e+00,-9.483373010052308094e-02,-2.566050479869603773e-01,-1.343617391174878550e+00,1.237854384524759599e+00,7.800017747470933127e-01,-7.479954885214711302e-01,2.254501358911089881e-01,8.843828929887633805e-01,1.480842699746217406e+00,-2.061706125149461721e-01,5.043832301982993371e-01,-3.316732500016088103e+00,1.609802990848399062e+00,7.612714714072790767e-02,3.952120615875793219e-01
-2.269494822590850003e+00,-1.696190005612253193e+00,-3.558201600907660023e-01,-1.572838819295111490e-01,-1.278322022400779190e+00,4.631226146905170205e-01,-1.844119620741585974e+00,-1.262999795949045101e+00,-1.357191645284233861e+00,1.278753180870302764e+00,1.602577278820465745e+00,-1.695859739221225126e+00,1.501471987575259126e+00,-1.124167208959044206e+00,1.208476437863483577e+00,1.333953115679176182e+00,2.033992808806805996e+00,1.055909880636874298e+00,7.911542314039284873e-01,-1.463459709601410585e+00,-8.909056850944063743e-01,6.556497143991280030e-01,9.497515218005134763e-01,1.398147582437019310e+00,-5.296364066882758292e-01,4.230588277612666315e-01,3.101441255864854085e+00,-4.556141435729534894e-01,-2.342804502217734341e-01,-1.683137148298727848e+00,3.561078387770430176e+00,2.767009852010573479e-01,-5.457425396898411663e+00,-6.400324985154339785e+00,-1.958744855705276677e-01,-5.979949094801002563e-01,-1.220431472048358001e+00
8.835027609481151956e-01,-1.120085937618619187e+00,2.171041999278187529e+00,1.182900680826356687e+00,-2.417030504249408907e+00,6.769422618330114272e-01,1.536427324353500268e+00,2.192225551834916075e+00,4.184156395570107101e+00,4.572771144033734636e+00,2.688660446348049238e+00,-1.052807614175364836e+00,8.548943286295999089e-01,2.399577557280080153e+00,1.075163984216484625e+00,-1.356260341876825315e+00,-3.703255543675461503e+00,8.261595469157723137e-01,9.281647133558438290e-01,1.777521950126105921e+00,-3.478547145844160582e+00,-3.311506506842309072e+00,1.847030218325433015e+00,1.797970888281191559e+00,1.204375026759213263e+00,7.524503245466784840e-01,-8.908538997817423422e-01,9.189482292792969242e-02,1.199894848645527423e+00,3.159389328543519504e+00,-5.562471811303448810e-02,-1.087102401484934394e-01,4.145843398922072431e+00,-2.056736239047651349e+00,-1.277367313418229289e+00,2.198192067086689683e+00,1.078802961839141261e+00
