X0,X1,X2,X3,X4
-5.929731979701399203e-01,-1.837890864578764383e+00,-2.133703782998614962e-01,4.274910440196470485e-01,1.348807265500522545e+00
-9.804053341832579260e-01,1.263180625535455404e+00,1.134607346349639778e+00,4.666322556077179273e-01,-7.144454990189242904e-01
9.007190606442682101e-01,2.056611070162787769e+00,8.127552692225471498e-01,-1.179545605521048035e+00,-3.507539852562051030e-01
8.276615719006471528e-01,-6.877760831173964640e-01,-5.756305084147251838e-01,2.162877504703116516e-01,-3.973286969331223939e-01
4.846636990825272107e-01,1.133430091036105036e+00,1.179559018486477040e+00,-4.677708825102899204e-01,3.337190944900489398e-01
-8.986170950971514859e-01,1.705039951683785748e+00,3.101497813821467275e+00,4.181511840338828639e-02,-1.254798104850315399e+00
-1.982407755005529237e+00,-1.975094568993526645e+00,1.160918712578092427e+00,1.629586680728740467e+00,1.614040423250408252e-01
-9.909688202106649302e-02,5.917550162114812995e-01,8.643803863340064897e-01,-5.058858539034145618e-01,1.202449426966108126e+00
-9.794368853497598115e-01,2.319028700555500144e+00,3.822086052774313902e+00,-4.063958819929441302e-01,-1.733278058701613666e+00
2.024793036998466800e-01,-4.155446739437371750e-01,3.193343793987166723e-01,7.504890066544334104e-02,-7.702725120294109384e-01
-1.489370670444129852e+00,-6.607115319273619836e-01,6.917000280549689961e-01,9.111344707974295964e-01,5.589985976117782807e-01
-1.388750954708821927e+00,4.236253404634117703e-01,-1.334920970635589121e-01,-1.210660175975315500e+00,4.902361010568060951e-01
-5.242335342842500134e-01,2.915835417977072908e-01,6.000262203989800147e-01,2.319583399640191557e-01,-2.204236601224706105e-01
-3.867382295286700966e-01,2.863693663183166205e+00,3.795738913769568512e+00,4.526981440986815874e-01,-2.543731935926741627e+00
-1.356703368199876136e+00,-1.155969013769930331e+00,1.863956832947245790e+00,1.464597929385803132e+00,-6.567711755285813302e-01
-2.504418207894854032e-01,9.997479012165932932e-02,-1.099137093404476406e+00,-1.090919446703253470e+00,-6.874672199341461121e-02
-7.434468058385057532e-01,-7.137486692079059170e-01,-2.262740132755484967e-01,3.875333946370241867e-01,4.738655030208291929e-01
-1.034947257917980673e-01,-1.764175216209288299e+00,-1.637962517428271259e+00,9.171121164860194241e-01,5.752793890432781332e-01
-1.664393766597535018e-01,-2.367876034783107819e+00,-3.209657809353749780e+00,1.780354606197610545e-01,2.490835549419725126e-01
-1.082159186275851066e-02,-2.725069059846952246e+00,-3.235678899107984563e+00,5.697646823092065160e-01,9.406661275634993491e-02
-5.246204774001566040e-01,-7.361658869057670085e-01,-1.311702301930347092e+00,3.340050160242378774e-01,1.593874391445382788e+00
-1.796202663986102427e-02,8.734321471765864597e-01,1.256787168143304267e+00,9.720539873562630273e-01,-1.765258828929125112e+00
1.447030324987354621e+00,7.297750542911773941e-02,-9.626976304104964965e-01,-2.677588794196204547e-01,-1.168044688366163486e+00
1.348960161255694956e+00,2.226930345500500508e+00,-8.587287053964141048e-01,-3.203065990395254636e-01,-1.261470087211661761e+00
-5.098536540942397721e-01,1.782860654571326586e+00,1.183017076914308463e+00,-1.314412856783931494e+00,-3.342275740634563785e-01
-8.762197075888303877e-01,-3.055765311548741536e-01,2.922792175591197861e-01,-1.664889210938816921e+00,1.715183982143919428e+00
1.179242935819470040e+00,1.366073536532658395e+00,5.205017269489939924e-01,8.674410195189176387e-02,-3.402762914016759233e-01
8.854474715587483391e-02,-1.926344937024342396e-01,1.232058707117004825e+00,1.878811372603397256e+00,-5.530644707071097343e-01
-9.609162141952798386e-01,-1.323076452342534015e+00,1.358805121734633525e+00,3.059947561553960860e+00,-9.848375063169627630e-01
-2.411476118767505172e-01,1.452866419100231177e+00,-2.276430450027144836e-02,-1.285397099816225852e+00,8.851530290292566328e-01
-3.787249669377190653e-01,9.641280931705953350e-02,-1.018992738492447092e+00,-2.005081368952621457e+00,-2.763866134155537613e-01
3.999155480227100656e-01,-1.577157313662131966e-01,3.092305197620118129e+00,1.925839063503160364e+00,-5.193321310297577265e-01
-2.679513932000481824e-01,-3.349968014992191989e+00,-3.155274854466453505e+00,-1.788222381265036909e-01,2.295431608228495790e+00
-3.062783293255447736e-01,1.195079202692884701e-01,1.396821280329760828e+00,-8.615605068118010745e-01,4.616158757864167739e-01
-1.377955124334628856e+00,1.168368235388903553e+00,1.414753865187549975e+00,-1.322570105942579399e+00,-7.364795390382785634e-01
1.167582850559020918e-01,1.259810303814293153e+00,1.141337421903870331e+00,-1.962651465610321111e-01,-9.624505289256611862e-01
-8.186032164415473211e-01,1.161135486370913350e+00,2.311480449234000201e-01,-1.010879675144547907e+00,-9.827437768633986437e-01
-1.080843093737798855e+00,-1.667106969054567678e+00,-1.024846186918286772e+00,-8.719726172764008520e-02,5.562021777268920664e-01
-1.777900052973511835e+00,2.250140378308128852e+00,4.972877901140760670e+00,3.047111038191356869e-01,-9.495745449453782960e-01
-3.223845483188047534e-01,4.499030593034056280e-01,3.341711648241201260e-01,4.696588297766680076e-01,-8.630013033719241555e-01
1.267546527934316991e+00,3.836303824564756049e+00,3.301714374569733490e+00,-1.145267034568475006e+00,-2.265343192345327772e+00
2.122837470253678138e-01,9.732064692092938785e-01,2.351921496801592792e-01,-1.425558008457100900e+00,4.996188175923026997e-01
2.121990034217467791e+00,2.171029873252903197e-01,-9.327327578937432140e-01,5.985827012514947087e-01,-1.899619085339926405e+00
3.756929295123835333e-01,-1.938880693747258244e+00,-1.129148993649498500e+00,-2.651300576113862495e-01,1.412153598701492152e+00
-1.786349035584949563e-01,-2.661419195090465539e+00,1.672999956257426035e-02,1.922172120928382855e+00,3.074489919474698851e-01
-1.581020451936637761e+00,2.179424860328024849e+00,3.797893631207409193e+00,-7.927150148060840840e-01,-1.019506822663078127e+00
-2.852640508326543256e-01,1.981237151265551333e-01,2.147054379734983920e-01,2.004734131047819501e-01,2.834494279652285953e-01
-1.769174602433300492e-01,2.342683487713232537e+00,4.408481897931483040e+00,-2.732889047731874577e-01,-2.700820789518966425e+00
-3.212447305131624908e-01,-2.209953363775175816e+00,-2.613080435280876301e+00,4.514468731256000567e-01,4.482516492562677590e-01
1.415495601631506561e+00,-1.690164295085247126e+00,-2.021514876590044807e+00,2.083177504811102310e+00,-7.301058210792858993e-01
1.562429632238870436e+00,-8.147072210777921430e-01,-1.701394225637109958e+00,2.056571792715057578e-01,1.078781550756914953e+00
-5.816952705541096336e-01,-2.388362150702682207e+00,-2.232288016284285970e+00,4.255100785676772107e-02,1.386277187942175360e+00
5.249080018157661343e-01,-1.696022938980920491e+00,-3.419473917534116225e+00,9.984192445802064775e-01,6.707108871530493843e-01
-9.075282876858263847e-01,8.362211872600966434e-02,1.920437005784977058e-01,-6.753831930519933469e-01,-2.348671415497735615e-01
8.213929349033449734e-01,1.638697477764228028e+00,2.226084425048424187e+00,4.900656790526259354e-01,-1.206073852474927266e+00
-1.277004708948193512e+00,-1.685821814110601613e+00,-2.018826252725235193e+00,-4.867993686130170916e-01,1.499834864709067295e-01
-2.822061081969279850e-01,-4.396258012381036195e+00,-4.135530561107764846e+00,1.740153490350909715e+00,2.781819903879733324e+00
6.802170678448549168e-01,-1.750594674174011933e-01,-1.031522672163501797e+00,-2.223757249841612493e-01,4.669721160554310968e-01
-2.689596999687804968e-01,1.223364257547093548e+00,3.989774987027929209e-01,-1.077059623987053572e+00,-2.171140829136888051e-01
-1.275071806399900476e+00,2.354567108077827431e+00,3.659285059204264723e+00,-9.064486911852234763e-02,-6.732847254317939623e-01
-1.904259827627326374e+00,-1.248795626220128518e+00,-1.070278932045060305e+00,-5.114807014151274700e-01,5.556615488612998144e-01
1.622423064147937577e+00,-3.406443454639035195e+00,-4.632424936662436821e+00,1.622039713826132434e+00,4.329540291423756293e-01
6.097165539826679970e-01,-6.893820686539937626e-01,-2.095533635699742270e-02,1.987703830956451534e-01,9.109610923842691443e-01
-1.832242065074398463e+00,4.216564249072395354e-01,1.830982718527205844e+00,-1.309262574439719051e+00,2.583107461673096461e-01
9.690983014546290797e-02,-1.505411250788216471e+00,-3.539349898710674402e+00,3.220799633053050282e-01,1.660693482793988762e+00
1.833300483984183771e+00,2.453087085677229329e+00,2.056353902932077204e+00,-2.733061355801629233e-01,-7.463803716832784207e-01
-5.892831457253134841e-01,1.528915938207420222e+00,4.770764274018056028e+00,-6.430231214877598633e-01,-7.278130974746015447e-01
2.370115306937486399e-01,-4.091144398773386648e+00,-6.963411817652097824e+00,7.195718340904958543e-01,1.182271316705284063e-02
1.192382160122477774e+00,1.477649519841998105e+00,3.102903310369782841e-01,-4.114617103526035380e-01,-1.854740802154621004e+00
4.001481864542679734e-01,1.534941017358814497e+00,-8.150008606415697354e-01,-3.169062124804578051e+00,7.553651831853984422e-02
1.445541308289307381e+00,6.166555261958824863e-01,8.068785570286991504e-01,4.798429201584099579e-01,-1.190124332463985413e+00
1.021067729728190043e+00,8.146135157472969013e-01,1.095910986918907648e-02,1.927021574176285279e-01,1.248588933227144371e-01
-6.839369577800771260e-01,2.170332095288716623e+00,4.817052428270543807e+00,6.391355107003375835e-01,-1.512098985722327482e+00
3.296702511906856592e-01,9.050817571269509365e-01,1.213225975664109058e+00,1.101062265529362677e-01,-2.322170235615970690e-01
1.134072881250358877e+00,-8.465782483206192310e-01,-2.401713051594873694e+00,5.723444311365234460e-01,1.098627000802710363e+00
-5.192615999206217081e-01,4.076288252867579232e-01,-5.803091673346080226e-01,-2.612929059866681558e-01,1.325794646531544885e+00
-4.888102164048904186e-01,1.131539962493481433e+00,2.008544194208868650e+00,-1.908039915389556196e+00,6.165534536951778888e-01
3.432958379221113243e-01,-7.577397919045369967e-02,1.661617883529589723e-01,6.392976544985833343e-01,-1.197120428750320542e+00
-4.484146879254267692e-01,-1.649155179838988516e+00,-2.543643910395867014e+00,-2.055453824430463206e-01,2.091710482510199309e+00
7.599575588902489631e-01,1.675533222298251523e+00,-1.046009394987289065e+00,-1.379605326806526699e+00,-5.084207872524573180e-01
-1.099219183692762974e-02,-2.731507471524369013e+00,-2.055279735033506583e+00,8.394789306804385509e-01,1.300533325825833364e+00
9.648702896318971378e-01,-2.835585252853838334e-01,9.463387842136983252e-02,4.056342511452857291e-01,-7.662045864013611318e-01
1.253671058042326453e-02,-2.039021464734739553e+00,5.763076848723456269e-01,8.425212260686928412e-01,2.375646419700230272e+00
3.605588001625750771e-01,-1.673361756987696847e+00,-1.465968561090863709e+00,3.635335591279028611e-01,-5.089302034758389492e-01
-1.111230014098316010e+00,1.899074154987477669e+00,4.899174845285836355e-02,-4.741137906040935324e-01,-1.583401548581836904e+00
-3.044769264422282906e-01,1.844532966857836964e-01,-1.202427956755216076e+00,-1.229509666871259288e+00,1.691270663348757086e+00
3.708587076665434967e-01,1.880703904351907152e+00,-5.222508893968995647e-01,-1.939419416691340103e+00,4.384172594798154687e-01
2.111519650780587121e+00,3.923764492053240516e-01,-1.772420905102999544e+00,7.335559343369862928e-01,-6.559669787920348050e-01
-1.066847680834438261e+00,4.642806480481082021e-01,3.898563790368791970e-02,-2.159816455932553059e-01,1.048123005569538524e+00
5.324124023730477662e-01,8.405517406772836653e-01,3.606714215596297013e+00,1.381222406399576164e+00,-8.203709726849726103e-01
-1.884817276699076172e-01,-1.121118193903571036e+00,-2.750932546904841125e+00,-1.430662507232894134e-02,-3.629034554122685385e-01
1.373270255699107878e+00,-5.544491820886610078e-02,9.459823153934747708e-01,9.676687510656422075e-01,1.725333294247063942e-01
-8.746515934892568067e-01,-4.855416580498375101e-01,1.726574816282562264e+00,1.268287236454395783e+00,1.804495186420396885e-02
1.124668472977916611e+00,2.365131015368058254e+00,2.332740434793391771e+00,8.161628281844537369e-01,-2.665710334730556408e+00
1.953120650715241213e+00,2.845994900173836051e+00,3.207375646590427287e+00,-6.495098985568726890e-01,-1.284005391959994746e-01
-1.015624259936429352e+00,1.092661618782137856e+00,1.276849586039848994e+00,1.423034545086143909e+00,-2.419766644990446025e+00
-6.930607202781545739e-01,-3.136238426749175190e+00,-2.576311943982823038e+00,1.288431179200650867e+00,3.246853186122786172e-01
-1.229947780748991137e+00,1.558040551709796162e-01,7.726725786754973235e-01,-1.280399746554935492e+00,2.051530321376973554e+00
1.341669307808591283e+00,1.752186969869293343e+00,-2.420355026238409923e-01,-3.292622523967088655e-01,6.024403540147722502e-01
1.939622941462698924e-01,-1.240020437405623177e+00,-2.966751042598643195e-01,-3.876371587260560303e-01,1.436601121362871769e+00
9.327023900721802541e-01,-8.911152009407867780e-01,-1.858519014000796110e+00,1.216936609657734092e+00,-5.980752163042546421e-01
-1.313603009796472820e+00,3.315671739849289867e+00,2.238957603812239849e+00,-1.659995422928460806e+00,-1.081955849332930208e+00
-1.088799561585127362e+00,-4.138062823587608241e-01,1.365521697011691682e+00,5.543325623234370836e-01,9.322190205071202718e-02
-5.585876348643366018e-01,-2.313229713050128478e+00,-2.884734095901372308e-01,1.535401423448175651e+00,-1.130178197673313151e-01
8.966888746038079727e-01,1.522232429567557332e+00,-6.347982772510267768e-01,-8.609036694732872252e-01,6.400713161771124371e-01
-6.317319138953729762e-01,1.114686016730874751e-01,5.192040481003712404e-01,4.317495439390544032e-01,1.173107949659086824e+00
1.538780922014368446e+00,-1.106334589949233616e+00,-2.136438554008328605e+00,4.087835390827138649e-01,-1.042574743342764704e-01
1.289919730151570354e+00,-1.831489447182736985e-01,-1.781005436889543381e-01,3.141188115565630712e-01,-8.799251215254569880e-01
2.062541635428961406e+00,3.781211224174152452e-02,-3.907725743076300162e+00,-1.006453255357077747e+00,1.987385515587469509e-01
1.542654053522284574e+00,-1.301507939954342330e+00,-2.079830481506677042e+00,1.406122958174785831e+00,8.989337008063811307e-01
4.491565975048723847e-02,7.403081963585367298e-01,-9.406864436096529225e-02,-7.517478135391561511e-02,1.068919221888992854e-01
6.347824335337833856e-01,-1.466154369930093848e+00,-3.149234726766267034e+00,-4.586644976067575374e-01,2.008402581189824510e+00
1.336027849269608048e+00,4.204270781650809585e-01,-8.092814180337226659e-01,1.243006295434087027e-01,-9.685821284489601335e-02
-6.346356558891806943e-01,-7.696687127914036974e-02,2.715025501289266563e-01,6.358164399706627279e-01,2.348368850976402522e-01
3.068137379152717226e-01,1.810173574415303799e+00,2.782490503105987223e+00,5.060650371104777889e-01,-7.213672664276498114e-01
-2.288767783407221756e-01,8.397072785823225249e-01,2.559851488376179152e+00,1.837199599432987607e-01,-1.357041668710831761e+00
3.199637577551567857e-01,1.249215307777111761e+00,1.429335319008172789e+00,4.584258931946648130e-01,-9.867795872975817506e-01
6.558739025844393389e-01,-3.237151646674143901e+00,-3.371414753135603792e+00,8.300031369484708321e-01,2.503944229210670613e+00
-1.184342429284344966e+00,7.213628114994425911e-01,3.229776243906537836e+00,-1.468363139838085862e+00,2.969577347744910556e-01
4.321420969600571205e-01,3.100998753943054353e+00,1.168014503412049709e+00,-5.305891972071189455e-01,-1.338966688591687326e+00
-1.558809820320418371e+00,-1.067011206692496827e+00,2.517116832103826418e+00,1.432401498752872371e+00,4.138564975629157594e-01
7.047403675541178414e-01,1.119784774697521357e+00,1.463599439033318239e+00,2.646487240020510834e-01,-1.798998232756073401e+00
