X0,X1,X2,X3,X4,X5,X6,X7,X8
1.025204274746127853e+00,1.074199926029921315e+00,-1.267268545203587449e+00,-4.831290072638688038e+00,-1.861160559725068886e+00,6.904104632693113253e+00,-5.523304460698008622e-02,-1.085878626647808209e+00,-2.946770563541121213e+00
-7.735986904093510308e-01,4.206849243155704521e+00,1.378225891701670980e+00,4.247264828902680422e-01,-2.829418302797917395e+00,-2.432488158609066087e+00,2.532299851073076979e+00,-2.440870967936497493e+00,-2.348087105753092985e+00
-1.042467726658619975e+00,-1.030643622853189001e+00,7.659694421211108439e-01,-1.055865017301474529e+00,-3.191784229789439431e-01,1.477470991586411264e+00,-1.651777354230270722e+00,6.743324394228280561e-01,-1.446060085558841468e+00
1.424922764864886782e+00,-1.983799953746876010e+00,8.989002296604154951e-01,2.468480450858521635e+00,1.745676686246214082e+00,-4.572335339248697395e+00,-5.634966314444542768e-01,7.590776766737350467e-01,2.278180952076991783e+00
1.533738747406610259e-01,2.627292019344967589e+00,-7.222409177849731243e-02,7.037058140394917283e-01,7.313628845390952593e-01,1.842656030015894508e-01,1.826995768050299951e+00,-1.937105562871834635e-02,7.565009739586117110e-01
1.112470063476465709e+00,-2.428950675654080182e-01,-9.268284478950057359e-01,-4.120897163456572088e+00,1.223244110144857261e-01,6.348299286505902472e+00,-3.439175480763428272e+00,4.627081068073718439e-03,-1.031487263942112209e+00
-9.593216129442973250e-02,-1.081476245188858210e+00,5.350105903339145152e-01,3.036520033745290892e+00,1.361701231121966504e+00,-3.255733751889884786e+00,1.235476472998597641e+00,1.583751259078775675e+00,2.357426188383282550e+00
4.245545834163413912e-01,-1.316536476868340966e+00,3.636106384237387523e-01,5.828424703587875566e-01,1.719519150849290190e-01,9.427083850445039381e-01,-1.489206656578349719e+00,7.359176046928477266e-01,8.713392708976215317e-01
-2.471190978215354328e-01,4.795597503512319393e-02,1.230831702995458521e+00,-2.793580976298487784e+00,-1.331776972373950541e+00,1.600120054790631352e+00,7.280350042804434318e-02,1.454322875544532823e-01,-2.236106606755646542e+00
3.330396547363586035e-01,-3.267796863609361058e+00,5.288650070698192041e-01,1.996216865429631726e+00,1.632871086233911306e+00,-3.740611622487078236e+00,-3.474546828387172326e+00,1.060425507899491970e+00,2.076968443936438646e+00
5.788959202324495124e-01,-2.666021231794498680e-01,-1.401047401102448964e+00,-2.428075606260899910e+00,-4.626656174007111044e-01,2.206189491596369123e+00,-1.390785961862323949e+00,5.733444953031667790e-01,-1.006026635753029641e+00
-2.170709913008685155e-01,-2.109627210271282749e+00,-1.600537277596142394e-01,-1.832026580858422626e+00,-4.699759883988441356e-01,1.140964402027780933e+00,-1.692747266059127398e+00,1.726391003935627166e+00,-1.492494053258633380e-01
-9.621300729407330499e-01,-1.485995636952980092e+00,-1.348308666690429147e+00,4.663842414896119948e+00,2.625063235240338244e+00,-4.762720314778647435e+00,-1.464964931422969796e+00,1.255188209618200323e+00,4.048570241869390962e+00
2.126474427429998204e-01,-2.068686533418397921e+00,1.286319126082094533e+00,2.279101186870405638e+00,8.632203031770916413e-01,-3.263030540239837407e+00,-3.354225050681034048e+00,1.466354030673512776e+00,1.909152624520673358e+00
-1.107306370968521136e+00,-5.543333610004055334e-01,5.239864851293151160e-01,2.140951794758852333e+00,4.143174506855704653e-01,-3.950159255631700894e+00,-7.753666473802828252e-01,-2.537404381308601131e-01,2.770538400378545485e-01
-1.277068337879251558e+00,1.136868796384638669e+00,7.589112314121464475e-01,2.794924766705765951e+00,8.385895886896403972e-01,-2.656270438219241026e+00,1.536391193485421081e+00,2.716559593311632798e-02,1.997611265502730937e+00
-9.333120360394212556e-01,-1.922697699870477450e+00,-9.478417998768245978e-01,1.247606458151391262e+00,3.337661067793467051e-01,1.871273244135087666e-01,-1.034033653876715864e-01,1.691901474605978839e+00,1.055442495803381453e+00
-9.337410968650433629e-01,-2.382184870448946779e-01,7.607157884700215256e-01,2.014154124113963107e+00,1.369865487206296528e+00,-2.286306250935032924e+00,-2.320674031768436230e+00,-6.463153091626614444e-01,1.267045612757962569e+00
8.844749074072805195e-01,-2.492295736193559819e+00,-4.333890676682838894e-01,6.317908881227890516e-02,7.028800687754909182e-01,1.346461617981470349e-01,-3.425821423755692763e+00,9.383340494727578918e-01,1.092841713206939902e+00
2.071178667335159540e-01,-3.432524903685013062e-01,-2.577141010356572837e-01,1.890523388479925515e+00,1.366851217523967321e+00,-5.411825379864032559e-01,3.550766147596738920e-01,4.897547660926226953e-01,2.144146477137655715e+00
1.000183580801267125e+00,1.554520469475328737e+00,6.316174091249576739e-01,1.621422105116997470e-01,-9.337779378032791122e-01,8.554467637659479706e-01,2.096759922418139688e+00,-1.373264848595870280e+00,7.570721283966452830e-02
8.873718011801616790e-01,-2.238261445349534640e+00,-1.655833419367111203e-01,-2.008720683836100918e+00,2.329736565024560502e-01,1.247569128852785925e+00,-2.200258629590401416e+00,1.062875430642549412e+00,2.601747304342540978e-01
-1.372575264938970863e+00,-2.258400212174515254e+00,1.085470851060639452e+00,2.184035759214801864e+00,2.394892361663610192e+00,-3.740829464772156498e+00,-2.386360484319914210e+00,1.489106707654522577e+00,-4.910676604554167213e-01
4.568458346992803620e-01,-3.020789373984600346e+00,1.571856669604624779e+00,-2.026391174984552457e+00,-1.933312601642283024e-01,1.082270874719604370e+00,-1.818177284250320991e+00,1.650002823548201825e+00,-8.456139759069565276e-01
2.575773539875746976e-01,3.903530234414179567e+00,-3.452436162183717544e-02,7.496145074166313815e-01,-1.574223291565225669e+00,-2.425684929239808163e+00,2.273396315585790806e+00,-2.622911174608739682e+00,-1.457583624131959299e+00
-1.327763976951641944e-01,1.381299451028061398e+00,-1.724673109946800009e+00,-1.829195590366176738e+00,-1.590682272695830957e+00,9.864172891102597207e-01,1.128041076302229495e+00,-6.962028991205450046e-01,-8.761524232562575287e-01
