X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
-8.724676982432891803e-01,-6.408367758240962608e-02,-2.918121824075217696e-01,-1.346338659066015797e+00,-3.277142545178824418e-01,1.191297553228914730e+00,-7.043915988272982931e-01,-2.092505987440448356e-01,1.547659038086424965e-01,-4.072300523150599316e-01,1.537918161570162701e+00,-7.283802391867852943e-01,7.282515463343048889e-01,8.764755616016693951e-01,1.348776868735537038e+00,-3.125513863563211259e-01,7.811379883636411225e-01,1.996348090186622848e+00,-1.201353541844198070e+00,6.160843284161989786e-01
-4.050043540264490760e-01,-1.016028701524023470e+00,2.625873153741197785e-01,-5.043537928786437363e-02,-8.754198943136850541e-01,-2.081012842989211187e+00,1.580401804212627770e-01,-3.051744428926748132e+00,-9.365504339923090837e-01,-5.022481178181241734e-01,-9.471286144860672218e-01,9.173101194548738402e-01,-1.904577392290935256e+00,-1.790830090907978844e+00,4.986105078827387516e+00,2.284464699582913205e+00,1.572616036342116885e+00,9.558705161218150614e-02,-2.266077828752621759e-01,2.165624839210948505e+00
1.271731479354589300e+00,1.282873291457649501e+00,1.026528048405936477e+00,-5.523622856346942916e-02,-2.288901280650055270e+00,1.106356930035455655e+00,-2.374074390963894221e-02,1.549800235889615019e+00,-1.446655655284933895e+00,1.195969160340476733e+00,1.171705728207769193e+00,-1.710498406018730710e+00,-1.645328617228253965e+00,2.633700947390309466e-01,2.200444358823333335e+00,-2.624844743202372044e+00,3.205265128890765425e+00,-1.576890909707053368e+00,-1.361737127093454847e+00,-3.694599356671842139e-01
-8.562672415865709707e-01,-6.617731471620326156e-01,2.357323172795172117e-01,-2.238318095995455614e+00,-9.163961265468056894e-02,-9.797867186242084081e-01,-1.652186902338391272e+00,2.212794944933158536e-01,3.793411110443766221e-01,-2.002427594105415931e+00,3.276166689581782698e+00,1.964004325536577333e+00,-9.068269184595376675e-01,1.492458410007852232e-01,-5.176512280177776315e-01,1.504560513033178726e+00,8.300930685621014105e-01,3.268496184766496726e-01,-2.636930545753520816e-01,-1.193089126345337148e+00
6.758412435235811033e-01,-3.037204579130771132e-01,4.371373037447066623e-01,3.262454105290193862e+00,-7.932494700225846129e-01,2.060726738155450377e+00,1.408718824730378349e+00,-1.944949940656835352e+00,-2.537642303540213362e+00,2.148700629387075178e+00,-4.693210202396921105e+00,4.066260207711341224e+00,1.632789718906586085e+00,-6.107192996460145684e-01,3.092889685418209744e+00,-8.034679982428012401e-01,4.281485259788261999e+00,-1.556575980146140736e+00,2.945711210343088471e+00,2.361457881918559210e+00
2.232429712609435620e-03,1.611382757830694512e+00,-1.400577493946197905e+00,-7.330700628784403428e-02,6.236448887335677149e-01,-5.019228161820696865e-01,-7.682060673737080014e-01,3.119771459506109679e+00,1.814027942763622170e-01,-3.010713670680310594e-01,2.609525705893651626e-01,-2.025004032850448610e+00,-1.116964006173768675e+00,3.701076129649446406e-02,-3.495916824455745697e+00,-2.390576239852053142e+00,-9.211443440681765793e-01,-4.885235741522995778e-01,-1.170927909188131277e+00,-1.861863853725386209e+00
7.970158686105380808e-01,1.999162565894404775e+00,-2.011103897888153191e-01,-7.723461877909029161e-01,4.991667819025922270e-01,-1.575447930241481886e+00,-1.387184004577795227e+00,2.426493327112132725e+00,-7.196984786628672914e-01,1.559694438124935578e-01,8.092381227406304500e-01,-3.168101255330071364e+00,-2.357578403731440120e-01,4.751113216075943946e-01,-8.707762309658030331e-01,-3.379658419623785992e+00,1.806459533388105942e+00,-1.485712087664119441e-01,-2.565938141722708288e+00,-1.031033118931560466e+00
6.860090380419779921e-01,5.359491849618858161e-02,1.906868249257442083e-01,-1.999040526757031699e+00,-4.193362320925806408e-01,7.672536678103669683e-01,-1.370568478070552709e+00,-1.044514036993302364e+00,-1.500653077834010141e+00,9.000556243883395258e-01,5.189236214345449572e-02,1.222771535409000965e+00,6.808974381036501100e-01,8.831459154837695280e-01,9.341808565960352251e-01,-8.177680080696861920e-01,6.839288299662302784e-01,-1.985814613301823073e+00,2.412553891956392693e-01,6.138908296960213784e-01
1.400326520266818031e+00,1.066545972538019971e+00,1.198845529527993170e+00,-1.479135459885027259e+00,-1.712052742323582288e+00,2.697208180929802523e+00,-8.401677798318004653e-01,2.410030152400125747e+00,1.211816473548182005e+00,2.233437901747090948e-01,3.994614007038719272e-01,-4.013106911388124587e+00,1.524065069523168781e+00,7.212509987120305777e-01,7.384441204423053406e-02,-7.189681801220138002e-01,-2.187257235403059052e+00,-2.470947105335043137e+00,-4.065573343159701203e+00,-4.087118903021841887e-01
2.944289025485409272e-01,2.436940605775047564e-01,1.436931696165504313e+00,-1.816471483641498352e+00,-2.065413515772324349e+00,8.774804819909527431e-01,-2.518498267960958437e+00,1.627716026422120876e+00,-1.100351847730185462e+00,-2.483311947845118883e+00,2.751616873732125601e+00,-4.334197867456341058e+00,1.088082616343699849e+00,4.592678201103799207e-01,2.300531776102834325e+00,-1.275771374147120607e+00,2.453595196593998828e+00,-1.185178275538904202e+00,-4.782009140150796256e+00,-3.750046521768325980e-01
