"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,0,0,0,0,0,0,0,0,0.65856445627287,0,0,0,0,0,0,0,0,0,0
"2",0,0,-0.993377620354295,0,0,0,-1.01916319853626,0,0,0,-1.16831969027407,0,0,0,0,0,0,0,0,0
"3",0,0,0,0.908627568511292,1.33895099605434,0,-0.73714982252568,0,0,0,0,0,0,0,0,0,0,0,0,-1.04013965046033
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,-1.1495566200465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.900242498144507,0,0,0,0,0,0,0.613228789065033,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,1.46404576604255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,-0.93088420224376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0.913404641207308,0,0,0,0,0,-0.831008025212213,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,-1.18910311744548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,-0.879112993599847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,1.05868935887702,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0.594886646606028,0,0,0,0,-1.22980043897405,0,0,0,-1.1307974839583,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
