X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
2.648646713006078679e-01,5.096758742053486557e-02,6.664291969343850708e-01,-7.307643092969864362e-01,1.287870611606616755e+00,1.003715178735058666e+00,-2.442281835271998061e-02,8.737683658043235990e-01,-2.316083525871388549e+00,2.388592914212386564e-01,-1.048571832281064431e+00,1.992490459977203532e+00,1.908006183819073165e-01,-1.120448305832509650e+00
8.665316983494089076e-01,9.937967706362593745e-01,4.434135117188570119e-01,-5.567775739389498879e-01,-4.343278868668027370e-01,3.419121306843237451e-01,-8.930355420634100705e-01,1.850685483738133463e+00,-1.339239998719105929e+00,-1.365471024279003798e+00,6.454574056316342290e-02,-5.993905870142630654e-01,-1.210970589188434365e+00,-1.778257004265859864e+00
1.185662932067581332e+00,4.706413184912606518e+00,1.563825482800436095e+00,-8.969811573316393005e-01,-3.696430090001161517e+00,6.392289315969972296e-01,9.460291359522944310e-01,1.078023879750658498e+00,-6.162889275833375535e+00,-1.323529930024920365e+00,3.728201867411954140e+00,-6.532735538308212853e+00,1.477505955693307893e+00,9.579432146249456936e-01
6.690462855250991492e-01,3.005044674542277083e-01,2.675640191469791374e-01,5.473733358168912932e-01,-5.911186147282841974e-01,9.265106395649902460e-02,-7.259591332402578479e-01,-7.454880578360059129e-01,2.065938588670032328e+00,5.081532957163731323e-01,1.583839870553250595e+00,-2.069135986133227689e+00,-1.696434759727221353e+00,7.106521801209314537e-01
-8.249895647979516022e-02,-1.509642873522180739e+00,-7.351422444752014895e-01,2.039100695769689719e-01,2.288618559779013406e+00,-9.078505641505527635e-01,-5.757893340991009357e-01,-2.246735217465350987e-01,2.958517873499176609e+00,-1.826840791695530264e+00,2.413980390135493259e+00,-3.319622693709415540e+00,-4.938843163721989837e-01,-1.889431123223623166e+00
6.927567972903877491e-01,6.066178580237285844e-01,-6.246623460722352528e-01,5.172291266761837036e-01,-1.672748513294264106e+00,1.146391763225606208e+00,1.558453223276783095e-01,-1.363256642426484699e+00,-6.333878168572404377e-01,5.990166220546117026e-01,4.511310755864633704e-01,-2.394763240687339589e+00,9.882356547297564686e-02,-5.652291120362926691e-01
3.741598054637080284e-01,-5.247234647210519132e-01,-1.505867975884284393e-01,-2.033989060867891219e+00,2.507517283365773952e+00,6.466102299180263024e-01,-2.385502172755162409e+00,3.035930577356956928e+00,-9.426169648329915107e-01,-4.231606203309339342e-01,1.879583573238849947e+00,-3.370245037324714588e+00,-9.618980649531957416e-01,1.377695405879740154e+00
-5.081664829258284583e-02,7.389671928602493667e-01,1.404853676774034055e+00,3.401016193076645405e-02,-8.564109139481629329e-02,1.231380747558287858e+00,-6.859755464553073459e-04,-1.387051708506436887e+00,-6.890810134124158992e-01,-6.454949377168404112e-01,1.384267587418608114e+00,-9.242181890773972786e-01,1.288630868016939379e+00,1.813289662911259148e+00
-1.945509443383580395e-01,-1.921089135761850253e+00,-1.296244917048873679e+00,-8.858312383930377898e-01,5.380586008863749159e-01,-1.645956283990362312e+00,-1.178378244458978763e+00,2.312946022083992137e+00,-1.709489143738295303e+00,1.570679516844932566e+00,-7.771556291811902994e-01,3.973874174046951868e-01,-5.856267115054465400e-01,-5.097169471692631904e-01
-2.437988871745369324e-01,1.689572445081367391e+00,6.846767221313622143e-01,-5.224580410187924517e-01,-1.048310784171931020e+00,-1.698356331263406904e+00,-4.044899368377517096e-02,1.263918861988657882e+00,-3.246662523555736257e+00,-1.235528790790394016e+00,-1.673073040091626495e+00,3.148183544138885459e+00,4.931449511601151969e-01,-2.521789744311269121e-01
-1.895422402447378030e+00,-7.500211485694248115e-01,-3.147850283716567832e-01,2.173129383239879253e+00,7.124275108695333758e-01,-6.491798235746319978e-01,5.883819397715690513e-01,-3.196105273319012063e+00,5.443145814645566460e+00,-1.036419881336440918e+00,-2.358631570664359689e+00,2.533978427187066007e+00,-7.405635251730382507e-01,5.850343604963360589e-01
3.147072009437008044e-01,-1.275713978120437853e+00,-1.117358723211616445e+00,-1.633006031934733093e-01,1.929853618210339850e+00,2.275356512082360727e-01,1.228421330091257618e-01,-5.692470500879378559e-01,-3.577516768302008154e-01,1.159380487620491396e+00,7.326470213742919402e-02,2.950289580572760251e-01,5.634900662470187366e-02,2.842785478745859074e+00
8.843426481329866862e-01,-1.553696839743526903e+00,-1.344603667181769380e+00,4.174363051963914106e-01,1.331484826870088511e+00,1.266530807079294885e+00,3.189153103084504393e-01,-1.447817067311425010e+00,-7.021868472994854393e-01,4.377564814259192194e-01,3.940541137028190644e-01,6.763640805797521693e-02,6.928549055628205888e-01,1.030272717869443078e+00
2.575499452932978328e-01,-4.949865355703817471e-01,1.197325674963462872e+00,-6.217261455523814817e-01,8.812235687079248425e-01,1.078382873190983360e-01,4.932389126015857550e-01,2.203897173285794597e+00,-5.643346715979395967e+00,-7.525873924733724740e-01,-4.736018932044312457e-01,2.432121464570073943e-01,1.124366155040339210e+00,-9.230304066880591352e-01
-5.312422958691248587e-01,-5.999042859936394301e-01,-1.096389425000792617e+00,1.302697038494096349e+00,5.747377294489113275e-01,-9.558522312325445913e-01,-1.268358820433093781e+00,-3.260056656034070244e+00,5.900797808677848089e+00,-1.124549278570710076e+00,1.902390545428194191e-01,-1.153261425612372326e+00,-2.998138923093204844e-01,-1.187082219063536614e+00
-1.447257149482448879e+00,-2.423351140947366922e+00,-1.350556758353817610e+00,1.920896435842317729e+00,8.229793820972577389e-01,-2.339950038342450522e+00,-9.229134236805507374e-01,-1.036192336463070074e+00,4.363884579240615125e+00,-1.667357371588687576e+00,-2.007373883584616880e+00,3.351725466807415010e+00,-1.821690233053051000e-01,1.419303176733383687e+00
1.969685304025210693e+00,-7.064034009197659447e-01,3.744864163916977740e-02,-3.086815052478721899e-01,8.616822749900481249e-01,1.877824433581543495e+00,-2.391852663051650396e-01,1.954969765809312143e+00,-4.072162484547959593e+00,1.679557424887206663e-01,7.402991686241148228e-01,-1.734168842483318151e+00,-1.180668938430142895e-01,5.610684287894421862e-01
1.455220703698720808e+00,-3.888066698201464888e+00,-1.490747689240751184e+00,-4.357635471590771692e-01,7.936244826350686843e-01,1.044487041623307633e-01,-6.269151300907107593e-01,2.063368328880465619e+00,-1.440836819822209902e+00,5.110023986189954348e-01,2.476644629149719612e-01,-4.830646417105586288e-01,-1.146100103041459484e+00,-3.403380344569860161e-01
-1.860862156473312767e+00,-1.288121016070133074e+00,-2.856990464047995393e-01,8.448404982552470965e-01,1.254126990010760556e+00,-1.636375174049609749e+00,-9.752396277892975973e-02,-9.523047613971225012e-02,2.454195761066933379e+00,1.611301537675967399e+00,-1.502457396746818663e+00,2.360992553671558802e+00,-7.974606715151612013e-01,-1.246789616417251834e+00
4.174098504811885602e-01,6.836756431685486746e-01,-7.822295569009418692e-01,-7.011429146530467893e-03,-9.354490650103237659e-01,1.021052720899925381e+00,-8.977921894133452652e-01,-1.746162173810296370e+00,2.377502674921780024e+00,9.046157238859919847e-01,2.864389348598086471e-01,-1.236748965560696689e+00,5.592975363028138691e-01,-6.371673395129114903e-01
